QueryPertID,GeneID,Symbol,Validation,Pct,pQSARCorr_r,NCI60_r,PSP_r,Probability_L,Probability_Q,Probability_LQ,Probability_NCI60,Probability_PSP
BRD-A04553218,1128,CHRM1,StructureLikely,0.0726,0.7924,,,0.6585,0.9255,0.9978,0.5,0.5
BRD-A04553218,1131,CHRM3,StructureLikely,0.0085,0.7459,,,0.8137,0.904,0.9976,0.5,0.5
BRD-A04553218,3269,HRH1,Known,0.0019,0.8252,,,0.884,0.9379,0.9995,0.5,0.5
BRD-A04668240,2550,GABBR1,Known,0.5564,0.6059,,,0.4087,0.8031,0.9246,0.5,0.5
BRD-A04668240,9568,GABBR2,Known,0.8835,0.6059,,,0.2622,0.8031,0.881,0.5,0.5
BRD-A04756508,2099,ESR1,Known,0.0083,0.7488,,,0.815,0.9054,0.9977,0.5,0.5
BRD-A04756508,5578,PRKCA,pQSAR,0.0002,0.6508,,,0.946,0.8421,0.9965,0.5,0.5
BRD-A05352148,1128,CHRM1,Known,0.6914,0.746,,,0.3581,0.904,0.9887,0.5,0.5
BRD-A05352148,1131,CHRM3,Known,0.0741,0.746,,,0.6566,0.904,0.9955,0.5,0.5
BRD-A05457250,367,AR,pQSAR,0.0021,0.6233,,,0.8801,0.819,0.9897,0.5,0.5
BRD-A05457250,775,CACNA1C,Known,0.5586,0.6625,,,0.4079,0.8512,0.9666,0.5,0.5
BRD-A06352418,1128,CHRM1,Known,0.9528,0.7713,,,0.1984,0.9163,0.9858,0.5,0.5
BRD-A06352418,1131,CHRM3,Known,0.276,0.7612,,,0.5178,0.9116,0.9945,0.5,0.5
BRD-A06352418,1577,CYP3A5,pQSAR,0.003,0.7074,,,0.8654,0.882,0.9968,0.5,0.5
BRD-A06352418,1812,DRD1,pQSAR,0.0033,0.7674,,,0.8613,0.9145,0.9987,0.5,0.5
BRD-A06352418,3269,HRH1,Known,0.2206,0.8172,,,0.5452,0.9351,0.9978,0.5,0.5
BRD-A06352418,476,ATP1A1,pQSAR,0.01,0.7327,,,0.8043,0.8969,0.9969,0.5,0.5
BRD-A06352418,5293,PIK3CD,pQSAR,0.0105,0.662,,,0.8014,0.8508,0.991,0.5,0.5
BRD-A06352418,775,CACNA1C,pQSAR,0.0016,0.7415,,,0.8903,0.9016,0.9984,0.5,0.5
BRD-A06352418,801,CALM1,pQSAR,0.0054,0.7674,,,0.838,0.9145,0.9985,0.5,0.5
BRD-A07000685,2908,NR3C1,Known,0.0007,0.7986,,,0.9168,0.928,0.9995,0.5,0.5
BRD-A07000685,301,ANXA1,Known,0.0029,0.7894,,,0.8669,0.9243,0.9991,0.5,0.5
BRD-A07000685,3066,HDAC2,pQSAR,0.0012,0.6099,,,0.9003,0.8068,0.9892,0.5,0.5
BRD-A07000685,3320,HSP90AA1,pQSAR,0.0017,0.6454,,,0.8881,0.8378,0.993,0.5,0.5
BRD-A07000685,6258,RXRG,pQSAR,0.0068,0.6111,,,0.826,0.8079,0.9829,0.5,0.5
BRD-A07000685,8644,AKR1C3,pQSAR,0.0107,0.5621,,,0.8003,0.7584,0.9599,0.5,0.5
BRD-A07000685,866,SERPINA6,StructureLikely,0.0136,0.7986,,,0.7856,0.928,0.9988,0.5,0.5
BRD-A07440155,154,ADRB2,Known,0.0456,0.7634,,,0.6983,0.9127,0.997,0.5,0.5
BRD-A07440155,1956,EGFR,pQSAR,0.0076,0.6184,,,0.8199,0.8146,0.9842,0.5,0.5
BRD-A07765530,150,ADRA2A,Known,0.5393,0.7578,,,0.4149,0.9099,0.9921,0.5,0.5
BRD-A07765530,152,ADRA2C,Known,0.2127,0.6706,,,0.5495,0.8572,0.9806,0.5,0.5
BRD-A07765530,154,ADRB2,Known,0.2552,0.8404,,,0.5276,0.943,0.9984,0.5,0.5
BRD-A07765530,3156,HMGCR,pQSAR,0.0002,0.6747,,,0.946,0.8602,0.9975,0.5,0.5
BRD-A07765530,3558,IL2,pQSAR,0.0091,0.6326,,,0.8098,0.8271,0.9865,0.5,0.5
BRD-A07765530,4170,MCL1,pQSAR,0.0072,0.6612,,,0.8229,0.8502,0.9918,0.5,0.5
BRD-A07765530,7124,TNF,Known,0.6173,0.7536,,,0.3865,0.9079,0.9908,0.5,0.5
BRD-A07765530,9212,AURKB,pQSAR,0.0012,0.6366,,,0.9003,0.8305,0.9928,0.5,0.5
BRD-A07780951,154,ADRB2,Known,0.1143,0.8274,,,0.6158,0.9387,0.9985,0.5,0.5
BRD-A07780951,4128,MAOA,pQSAR,0.0105,0.6546,,,0.8014,0.8451,0.9899,0.5,0.5
BRD-A07780951,506,ATP5F1B,pQSAR,0.0093,0.6299,,,0.8086,0.8248,0.9859,0.5,0.5
BRD-A07780951,7124,TNF,pQSAR,0.0039,0.7933,,,0.8537,0.9259,0.9991,0.5,0.5
BRD-A07875874,1080,CFTR,StructureLikely,0.4439,0.5545,,,0.4496,0.75,0.8644,0.5,0.5
BRD-A07875874,775,CACNA1C,Known,0.5641,0.6261,,,0.4059,0.8215,0.943,0.5,0.5
BRD-A07875874,776,CACNA1D,StructureLikely,0.3649,0.5545,,,0.4799,0.75,0.8749,0.5,0.5
BRD-A07893380,1131,CHRM3,pQSAR,0.0025,0.7493,,,0.8731,0.9057,0.9984,0.5,0.5
BRD-A07893380,18,ABAT,Known,0.2127,0.7748,,,0.5495,0.9179,0.996,0.5,0.5
BRD-A07893380,2550,GABBR1,Known,0.6555,0.6547,,,0.3721,0.8452,0.9582,0.5,0.5
BRD-A07893380,383,ARG1,pQSAR,0.0061,0.8424,,,0.8317,0.9437,0.9995,0.5,0.5
BRD-A07893380,5579,PRKCB,pQSAR,0.0028,0.6033,,,0.8684,0.8006,0.9849,0.5,0.5
BRD-A07893380,5915,RARB,pQSAR,0.0099,0.6241,,,0.8049,0.8197,0.9843,0.5,0.5
BRD-A07932845,1812,DRD1,pQSAR,0.0008,0.8266,,,0.913,0.9384,0.9996,0.5,0.5
BRD-A07932845,3358,HTR2C,Known,0.4577,0.8266,,,0.4445,0.9384,0.9975,0.5,0.5
BRD-A08062015,1349,COX7B,pQSAR,0.0063,0.6141,,,0.83,0.8107,0.984,0.5,0.5
BRD-A08062015,367,AR,Known,0.3961,0.827,,,0.4677,0.9386,0.9977,0.5,0.5
BRD-A08062015,7421,VDR,pQSAR,0.0061,0.674,,,0.8317,0.8597,0.9935,0.5,0.5
BRD-A09094913,1128,CHRM1,Known,0.7296,0.5654,,,0.3424,0.762,0.8424,0.5,0.5
BRD-A09094913,1131,CHRM3,Known,0.0271,0.5654,,,0.7386,0.762,0.9507,0.5,0.5
BRD-A09467419,1128,CHRM1,Known,0.1423,0.564,,,0.5936,0.7605,0.9197,0.5,0.5
BRD-A09467419,1131,CHRM3,Known,0.1972,0.564,,,0.5581,0.7605,0.9112,0.5,0.5
BRD-A09533288,1571,CYP2E1,Known,0.2515,0.6455,,,0.5294,0.8378,0.9701,0.5,0.5
BRD-A09533288,1577,CYP3A5,Known,0.0068,0.5942,,,0.826,0.7918,0.9779,0.5,0.5
BRD-A09533288,775,CACNA1C,Known,0.6911,0.5765,,,0.3582,0.7738,0.8696,0.5,0.5
BRD-A09539288,1128,CHRM1,Known,0.2743,0.7452,,,0.5186,0.9036,0.9931,0.5,0.5
BRD-A09539288,1131,CHRM3,StructureLikely,0.1669,0.7452,,,0.5766,0.9036,0.9942,0.5,0.5
BRD-A09539288,3269,HRH1,pQSAR,0.0008,0.7463,,,0.913,0.9042,0.9988,0.5,0.5
BRD-A09828896,1812,DRD1,Known,0.0496,0.7885,,,0.6913,0.9239,0.9979,0.5,0.5
BRD-A09828896,2099,ESR1,pQSAR,0.004,0.6358,,,0.8525,0.8298,0.9898,0.5,0.5
BRD-A10070317,154,ADRB2,Known,0.0019,0.6683,,,0.884,0.8555,0.9949,0.5,0.5
BRD-A10070317,1577,CYP3A5,pQSAR,0.0026,0.6151,,,0.8715,0.8116,0.9876,0.5,0.5
BRD-A10070317,1812,DRD1,pQSAR,0.0079,0.6496,,,0.8178,0.8411,0.99,0.5,0.5
BRD-A10188456,2908,NR3C1,Known,0.8725,0.8182,,,0.2696,0.9355,0.9948,0.5,0.5
BRD-A10662413,367,AR,pQSAR,0.0053,0.6877,,,0.8389,0.8692,0.995,0.5,0.5
BRD-A10662413,801,CALM1,Known,0.0407,0.7792,,,0.7074,0.9199,0.9977,0.5,0.5
BRD-A10977446,150,ADRA2A,Known,0.3334,0.6667,,,0.4927,0.8543,0.9756,0.5,0.5
BRD-A10977446,152,ADRA2C,Known,0.3516,0.6667,,,0.4852,0.8543,0.9751,0.5,0.5
BRD-A10977446,154,ADRB2,Known,0.1508,0.6667,,,0.5875,0.8543,0.9817,0.5,0.5
BRD-A10977446,1571,CYP2E1,Known,0.6106,0.6455,,,0.3889,0.8378,0.9546,0.5,0.5
BRD-A11132253,3615,IMPDH2,Known,0.0187,0.5861,,,0.7647,0.7837,0.9671,0.5,0.5
BRD-A11263757,1786,DNMT1,Known,0.4537,0.5466,1.0,,0.446,0.7411,0.8483,0.8919,0.5
BRD-A11263757,5292,PIM1,pQSAR,0.0027,0.7508,0.2556,,0.8699,0.9065,0.9984,0.5703,0.5
BRD-A11263757,5422,POLA1,StructureLikely,0.9469,0.6878,0.1712,,0.2058,0.8693,0.9529,0.519,0.5
BRD-A11263757,5564,PRKAB1,pQSAR,0.0106,0.7508,,,0.8009,0.9065,0.9976,0.5,0.5
BRD-A11263757,6241,RRM2,pQSAR,0.0063,0.6878,0.1712,,0.83,0.8693,0.9947,0.519,0.5
BRD-A11605036,2554,GABRA1,Known,0.007,0.5501,,,0.8244,0.745,0.9574,0.5,0.5
BRD-A11678676,2475,MTOR,Known,0.0005,0.5504,1.0,,0.9259,0.7454,0.9794,0.8919,0.5
BRD-A11678676,5290,PIK3CA,Known,0.0089,0.476,1.0,,0.8111,0.6524,0.872,0.8919,0.5
BRD-A11678676,5293,PIK3CD,Known,0.0026,0.476,1.0,,0.8715,0.6524,0.906,0.8919,0.5
BRD-A11678676,5294,PIK3CG,Known,0.0159,0.476,1.0,,0.7755,0.6524,0.8524,0.8919,0.5
BRD-A11990600,2558,GABRA5,Known,0.5349,0.5909,,,0.4165,0.7885,0.9092,0.5,0.5
BRD-A11990600,2562,GABRB3,Known,0.2673,0.5909,,,0.5218,0.7885,0.9325,0.5,0.5
BRD-A11990600,2565,GABRG1,Known,0.3383,0.5909,,,0.4907,0.7885,0.9263,0.5,0.5
BRD-A11990600,2568,GABRP,Known,0.1053,0.5909,,,0.6238,0.7885,0.95,0.5,0.5
BRD-A13084692,5468,PPARG,Known,0.0397,0.4907,,,0.7094,0.6721,0.8473,0.5,0.5
BRD-A13122391,1017,CDK2,pQSAR,0.0074,0.7669,0.3864,0.5269,0.8214,0.9143,0.9983,0.6466,0.6819
BRD-A13122391,1021,CDK6,pQSAR,0.0045,0.7669,0.2914,0.5269,0.8469,0.9143,0.9986,0.5917,0.6819
BRD-A13122391,1022,CDK7,pQSAR,0.0019,0.7669,0.3864,0.5269,0.884,0.9143,0.9989,0.6466,0.6819
BRD-A13122391,3066,HDAC2,pQSAR,0.0027,0.6501,0.1788,-0.0645,0.8699,0.8415,0.9926,0.5236,0.3304
BRD-A13122391,3091,HIF1A,pQSAR,0.0005,0.7927,0.0793,0.6211,0.9259,0.9256,0.9995,0.4626,0.7304
BRD-A13122391,5970,RELA,Known,0.6241,0.6274,0.4621,0.2525,0.3839,0.8226,0.9402,0.6878,0.5202
BRD-A13122391,6240,RRM1,pQSAR,0.0106,0.7189,0.0886,0.5019,0.8009,0.889,0.9962,0.4683,0.6683
BRD-A13122391,983,CDK1,pQSAR,0.0003,0.7669,0.3864,0.5439,0.9378,0.9143,0.9993,0.6466,0.691
BRD-A13188892,1131,CHRM3,pQSAR,0.0098,0.6196,,,0.8055,0.8157,0.9833,0.5,0.5
BRD-A13188892,1577,CYP3A5,pQSAR,0.003,0.6353,,,0.8654,0.8294,0.9905,0.5,0.5
BRD-A13711138,1128,CHRM1,Known,0.5039,0.581,,,0.4277,0.7785,0.8992,0.5,0.5
BRD-A13711138,1131,CHRM3,Known,0.0139,0.6423,,,0.7842,0.8352,0.9869,0.5,0.5
BRD-A13946108,231,AKR1B1,Known,0.1088,0.5446,,,0.6206,0.7388,0.9028,0.5,0.5
BRD-A13946108,5467,PPARD,Known,0.2573,0.6159,,,0.5266,0.8124,0.9535,0.5,0.5
BRD-A13946108,5743,PTGS2,Known,0.0451,0.6518,,,0.6992,0.8429,0.9841,0.5,0.5
BRD-A14208071,1128,CHRM1,Known,0.3826,0.7001,,,0.4729,0.8774,0.9843,0.5,0.5
BRD-A14240607,134864,TAAR1,Known,0.289,0.822,,,0.5119,0.9368,0.9978,0.5,0.5
BRD-A14240607,5743,PTGS2,pQSAR,0.0106,0.6993,,,0.8009,0.8769,0.9949,0.5,0.5
BRD-A14798026,1577,CYP3A5,pQSAR,0.0069,0.6326,,,0.8252,0.8271,0.9875,0.5,0.5
BRD-A14798026,2099,ESR1,Known,0.6976,0.6531,,,0.3556,0.8439,0.955,0.5,0.5
BRD-A14798026,2100,ESR2,StructureLikely,0.527,0.5336,,,0.4194,0.7259,0.8086,0.5,0.5
BRD-A15010982,10558,SPTLC1,pQSAR,0.0049,0.6233,,,0.8428,0.819,0.987,0.5,0.5
BRD-A15034104,5770,PTPN1,Known,0.445,0.7329,,,0.4492,0.897,0.9897,0.5,0.5
BRD-A15034104,7124,TNF,pQSAR,0.0048,0.6469,,,0.8438,0.839,0.9909,0.5,0.5
BRD-A15034104,9212,AURKB,pQSAR,0.0018,0.7076,,,0.886,0.8822,0.9972,0.5,0.5
BRD-A15079084,1577,CYP3A5,pQSAR,0.0012,0.7247,,,0.9003,0.8924,0.9981,0.5,0.5
BRD-A15079084,301,ANXA1,pQSAR,0.0005,0.6178,,,0.9259,0.8141,0.9925,0.5,0.5
BRD-A15079084,476,ATP1A1,pQSAR,0.003,0.6925,,,0.8654,0.8725,0.996,0.5,0.5
BRD-A15297126,1577,CYP3A5,StructureLikely,0.0207,0.8595,,,0.7578,0.9489,0.9995,0.5,0.5
BRD-A15297126,2908,NR3C1,Known,0.0015,0.8595,,,0.8927,0.9489,0.9997,0.5,0.5
BRD-A15297126,301,ANXA1,StructureLikely,0.039,0.7595,,,0.7108,0.9108,0.997,0.5,0.5
BRD-A15297126,6097,RORC,pQSAR,0.0071,0.6431,,,0.8236,0.8359,0.9893,0.5,0.5
BRD-A15297126,6608,SMO,Known,0.0804,0.5183,,,0.6492,0.7073,0.8725,0.5,0.5
BRD-A15297126,866,SERPINA6,Known,0.0639,0.8542,,,0.6698,0.9473,0.9992,0.5,0.5
BRD-A15597386,1131,CHRM3,pQSAR,0.0005,0.7103,,,0.9259,0.8838,0.9982,0.5,0.5
BRD-A15597386,2554,GABRA1,Known,0.7967,0.6884,,,0.3121,0.8697,0.969,0.5,0.5
BRD-A15597386,2908,NR3C1,pQSAR,0.0045,0.7329,,,0.8469,0.897,0.9976,0.5,0.5
BRD-A15597386,5916,RARG,pQSAR,0.0106,0.6174,,,0.8009,0.8137,0.9823,0.5,0.5
BRD-A15914070,2224,FDPS,pQSAR,0.0047,0.7619,,,0.8448,0.9119,0.9984,0.5,0.5
BRD-A15914070,3551,IKBKB,Known,0.1266,0.7215,,,0.6056,0.8905,0.9924,0.5,0.5
BRD-A15914070,5516,PPP2CB,pQSAR,0.002,0.6531,,,0.882,0.8439,0.9935,0.5,0.5
BRD-A16311756,1128,CHRM1,Known,0.0827,0.8624,,,0.6466,0.9497,0.9992,0.5,0.5
BRD-A16311756,1131,CHRM3,StructureLikely,0.6339,0.8624,,,0.3803,0.9497,0.9982,0.5,0.5
BRD-A16311756,116443,GRIN3A,Known,0.2973,0.7851,,,0.5082,0.9224,0.9961,0.5,0.5
BRD-A16311756,1577,CYP3A5,pQSAR,0.0005,0.6555,,,0.9259,0.8458,0.9958,0.5,0.5
BRD-A16311756,2099,ESR1,pQSAR,0.0033,0.6547,,,0.8613,0.8452,0.9927,0.5,0.5
BRD-A16311756,3269,HRH1,StructureLikely,0.1113,0.8624,,,0.6184,0.9497,0.9991,0.5,0.5
BRD-A16311756,5581,PRKCE,pQSAR,0.0013,0.6094,,,0.8976,0.8064,0.9889,0.5,0.5
BRD-A16311756,801,CALM1,StructureLikely,0.0445,0.7731,,,0.7002,0.9172,0.9975,0.5,0.5
BRD-A16444946,111,ADCY5,pQSAR,0.0005,0.6599,,,0.9259,0.8492,0.996,0.5,0.5
BRD-A16444946,2548,GAA,Known,0.1782,0.6589,,,0.5695,0.8484,0.9782,0.5,0.5
BRD-A16444946,3615,IMPDH2,pQSAR,0.0097,0.6424,,,0.8061,0.8353,0.9882,0.5,0.5
BRD-A16478930,1577,CYP3A5,StructureLikely,0.0158,0.7806,,,0.776,0.9205,0.9983,0.5,0.5
BRD-A16478930,2908,NR3C1,Known,0.0005,0.8546,,,0.9259,0.9474,0.9998,0.5,0.5
BRD-A16478930,301,ANXA1,Known,0.0041,0.7853,,,0.8514,0.9225,0.9989,0.5,0.5
BRD-A16478930,476,ATP1A1,pQSAR,0.0037,0.6879,,,0.8561,0.8694,0.9955,0.5,0.5
BRD-A16478930,6608,SMO,StructureLikely,0.6083,0.5398,,,0.3898,0.7332,0.8088,0.5,0.5
BRD-A16478930,866,SERPINA6,StructureLikely,0.0076,0.8546,,,0.8199,0.9474,0.9996,0.5,0.5
BRD-A16694057,2100,ESR2,Known,0.4772,0.5938,,,0.4374,0.7914,0.9178,0.5,0.5
BRD-A16694057,5468,PPARG,Known,0.3529,0.561,,,0.4847,0.7572,0.8868,0.5,0.5
BRD-A16700644,1131,CHRM3,pQSAR,0.0034,0.6298,,,0.8599,0.8247,0.9893,0.5,0.5
BRD-A16700644,154,ADRB2,Known,0.087,0.726,,,0.6419,0.8931,0.9937,0.5,0.5
BRD-A16746338,3551,IKBKB,pQSAR,0.0098,0.691,0.3268,,0.8055,0.8715,0.9943,0.6125,0.5
BRD-A16746338,7153,TOP2A,Known,0.9806,0.6405,1.0,,0.1498,0.8337,0.8804,0.8919,0.5
BRD-A16746338,836,CASP3,Known,0.0101,0.5217,1.0,,0.8037,0.7115,0.9294,0.8919,0.5
BRD-A17065207,1956,EGFR,pQSAR,0.007,0.6106,0.1192,,0.8244,0.8075,0.9826,0.4871,0.5
BRD-A17065207,3551,IKBKB,pQSAR,0.0086,0.7508,0.1128,,0.813,0.9065,0.9978,0.4831,0.5
BRD-A17411484,5743,PTGS2,Known,0.1509,0.5396,,,0.5874,0.733,0.8857,0.5,0.5
BRD-A17428743,3358,HTR2C,Known,0.6957,0.6687,,,0.3564,0.8558,0.9642,0.5,0.5
BRD-A17448384,1577,CYP3A5,Known,0.3529,0.7903,,,0.4847,0.9246,0.9961,0.5,0.5
BRD-A17448384,190,NR0B1,StructureLikely,0.3961,0.5763,,,0.4677,0.7736,0.9037,0.5,0.5
BRD-A17448384,2908,NR3C1,Known,0.0005,0.8222,,,0.9259,0.9369,0.9997,0.5,0.5
BRD-A17448384,301,ANXA1,StructureLikely,0.018,0.8222,,,0.7673,0.9369,0.9991,0.5,0.5
BRD-A17448384,866,SERPINA6,Known,0.008,0.8098,,,0.8171,0.9324,0.9991,0.5,0.5
BRD-A17462676,154,ADRB2,Known,0.0305,0.7916,,,0.7298,0.9252,0.9983,0.5,0.5
BRD-A17655518,1128,CHRM1,pQSAR,0.0014,0.7078,,,0.8951,0.8823,0.9974,0.5,0.5
BRD-A17655518,1386,ATF2,pQSAR,0.0042,0.7017,,,0.8502,0.8785,0.9962,0.5,0.5
BRD-A17655518,1577,CYP3A5,pQSAR,0.0098,0.7767,,,0.8055,0.9188,0.9984,0.5,0.5
BRD-A17655518,18,ABAT,pQSAR,0.0091,0.7487,,,0.8098,0.9054,0.9977,0.5,0.5
BRD-A17655518,468,ATF4,pQSAR,0.0061,0.7017,,,0.8317,0.8785,0.9958,0.5,0.5
BRD-A17655518,5327,PLAT,Known,0.5216,0.6988,,,0.4213,0.8766,0.9813,0.5,0.5
BRD-A17655518,5468,PPARG,Known,0.0051,0.7058,,,0.8408,0.881,0.9962,0.5,0.5
BRD-A17655518,5743,PTGS2,Known,0.0175,0.7315,,,0.7692,0.8962,0.9964,0.5,0.5
BRD-A17819071,2554,GABRA1,pQSAR,0.0066,0.7058,,,0.8276,0.881,0.9959,0.5,0.5
BRD-A17819071,3320,HSP90AA1,Known,0.0809,0.7808,,,0.6486,0.9206,0.9973,0.5,0.5
BRD-A17828570,2099,ESR1,Known,0.0581,0.6599,,,0.678,0.8492,0.9848,0.5,0.5
BRD-A17828570,2100,ESR2,Known,0.075,0.6599,,,0.6555,0.8492,0.9837,0.5,0.5
BRD-A17883755,1577,CYP3A5,pQSAR,0.008,0.6115,,,0.8171,0.8083,0.9822,0.5,0.5
BRD-A17883755,5743,PTGS2,Known,0.4196,0.5403,,,0.4587,0.7338,0.8408,0.5,0.5
BRD-A17883755,7124,TNF,Known,0.0029,0.537,,,0.8669,0.7299,0.9594,0.5,0.5
BRD-A18497530,132,ADK,Known,0.8572,0.6951,,,0.2793,0.8742,0.9685,0.5,0.5
BRD-A18497530,3614,IMPDH1,pQSAR,0.0107,0.6951,,,0.8003,0.8742,0.9945,0.5,0.5
